,cluster_id
cluster_488,245
cluster_120,47
cluster_42,26
cluster_100,22
cluster_92,11
cluster_79,11
cluster_14,10
cluster_131,10
cluster_420,10
cluster_11,7
cluster_182,7
cluster_210,6
cluster_264,6
cluster_176,5
cluster_482,5
cluster_245,5
cluster_59,4
cluster_18,4
cluster_233,4
cluster_501,4
cluster_7,4
cluster_260,4
cluster_280,3
cluster_318,3
cluster_209,3
cluster_345,3
cluster_496,3
cluster_147,3
cluster_158,3
cluster_54,2
cluster_37,2
cluster_95,2
cluster_39,2
cluster_253,2
cluster_434,2
cluster_356,2
cluster_368,2
cluster_348,2
cluster_402,2
cluster_192,1
cluster_437,1
cluster_379,1
cluster_1,1
cluster_484,1
cluster_156,1
cluster_438,1
cluster_58,1
cluster_218,1
cluster_163,1
cluster_240,1
cluster_392,1
cluster_369,1
cluster_180,1
cluster_403,1
cluster_543,1
cluster_32,1
cluster_440,1
cluster_146,1
cluster_86,1
cluster_76,1
cluster_49,1
cluster_72,1
cluster_498,1
cluster_41,1
cluster_287,1
cluster_377,1
cluster_384,1
