uniprot_id,ratio_bad_plddt,median_plddt,cluster_id
Q2WGI1,0.9719,34.2,cluster_290
Q9MTH5,0.9452,27.08,cluster_498
P86226,0.9367,41.59,cluster_316
A7Y3K2,0.9096,31.56,cluster_498
B2V6N7,0.9066,61.715,cluster_83
Q00383,0.9056,34.625,cluster_498
Q40607,0.9056,54.51,cluster_79
P41647,0.9049,33.265,cluster_498
Q85WU2,0.8915,30.265,cluster_498
P67970,0.8879,51.07,cluster_100
Q4VZL0,0.8861,34.35,cluster_498
A4QLZ3,0.884,41.225,cluster_498
Q2W2T3,0.8831,62.24,cluster_379
A4GGF4,0.8829,37.37,cluster_498
A9L9E2,0.8828,36.1,cluster_498
Q3V4X6,0.8824,34.57,cluster_498
P0C262,0.8821,36.87,cluster_498
P42010,0.8814,54.125,cluster_79
A1XGT3,0.8809,35.69,cluster_498
P01315,0.8796,48.905,cluster_100
A4QJH4,0.8788,39.125,cluster_498
Q1KXH4,0.8781,38.62,cluster_498
A8W3M6,0.8777,35.02,cluster_498
Q68RU8,0.8755,37.72,cluster_498
Q3C1P6,0.8753,38.77,cluster_498
Q5SCY7,0.8752,37.595,cluster_498
A8SEG5,0.8741,39.13,cluster_498
A4QJQ8,0.8738,38.07,cluster_498
P12222,0.8732,37.73,cluster_498
A9LYF8,0.873,36.77,cluster_498
Q70XV6,0.8729,37.3,cluster_498
Q09WW0,0.8728,36.45,cluster_498
Q1KXR1,0.8727,38.16,cluster_498
Q8HXV2,0.8727,49.675,cluster_100
Q6YK33,0.8727,50.02,cluster_100
Q62587,0.8727,51.855,cluster_100
P01311,0.8727,52.26,cluster_100
Q0G9Q4,0.8724,38.96,cluster_498
Q09MB8,0.8721,36.35,cluster_498
P0DJC5,0.871,56.615,cluster_102
Q2VEC3,0.8707,38.71,cluster_498
Q8S8U2,0.8707,38.915,cluster_498
Q0ZIW0,0.8706,35.93,cluster_498
A0ZZ93,0.8703,38.95,cluster_498
A4QJZ0,0.8701,38.71,cluster_498
A4QLG7,0.8697,40.08,cluster_498
A4GYX4,0.8694,36.36,cluster_498
Q2MIC9,0.8691,39.12,cluster_498
A7M944,0.8679,36.0,cluster_498
A6MMG9,0.8679,36.96,cluster_498
Q33BW4,0.8679,39.225,cluster_498
P12707,0.8679,51.015,cluster_100
P12706,0.8679,51.275,cluster_100
Q14FA0,0.8676,36.395,cluster_498
A4QKQ3,0.8675,41.31,cluster_498
Q6EVZ2,0.8669,33.47,cluster_498
A4QKZ2,0.8669,38.38,cluster_498
A4QK78,0.8667,39.73,cluster_498
P04667,0.8667,51.69,cluster_100
A8W3G9,0.8666,38.715,cluster_498
A4QLQ5,0.8654,40.81,cluster_498
Q09FY8,0.8653,37.08,cluster_498
B1HM50,0.8644,50.98,cluster_79
Q9M3J5,0.8642,37.62,cluster_498
Q2L951,0.8642,40.26,cluster_498
A4QKG5,0.8638,41.78,cluster_498
P01321,0.8636,49.235,cluster_100
P30406,0.8636,49.56,cluster_100
P30410,0.8636,49.7,cluster_100
P01329,0.8636,50.33,cluster_100
Q98TA8,0.8636,51.0,cluster_100
Q91XI3,0.8636,51.22,cluster_100
P01313,0.8636,51.57,cluster_100
Q7VYS7,0.8636,62.015,cluster_379
Q7YJS6,0.8632,39.88,cluster_498
Q06R72,0.8624,36.03,cluster_498
A4QL79,0.8624,38.865,cluster_498
A6MN03,0.8618,36.925,cluster_498
Q85FG7,0.8616,38.73,cluster_498
P67972,0.8611,51.06,cluster_100
Q0G9G1,0.861,37.5,cluster_498
A0A393,0.8607,36.33,cluster_498
A9NTU2,0.86,60.95,cluster_105
A7M9B2,0.8594,39.18,cluster_498
Q2MI42,0.8583,38.42,cluster_498
P01317,0.8571,49.5,cluster_100
